"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Thodupuzha","Coffee","Other","23/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","24/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","26/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","27/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","31/03/2018","6800","7000","7000"
"Kerala","Idukki","Thodupuzha","Coffee","Other","03/04/2018","6800","7000","7000"
"Kerala","Idukki","Thodupuzha","Coffee","Other","04/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","05/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","06/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","07/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","10/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","11/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","12/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","13/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","16/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","17/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","18/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","24/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","25/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","26/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","27/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","28/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","30/04/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","02/05/2018","6200","6400","6400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","03/05/2018","6200","6400","6400"
